# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock:u'
# Event count (approx.): 14717171570
#
# Overhead|     Samples|Symbol                |Shared Object|IPC   [IPC Coverage]
 0.14%  | 2          |[.] 0x00000000619c5d39|game         |-      -
 0.14%  | 2          |[.] 0x00000000619c60d3|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a01700|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a01aae|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a0251c|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a9e8f0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a9e940|game         |-      -
 0.14%  | 2          |[.] 0x0000000061a9f3c0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061aa62d0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ac7740|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ac7b60|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ac80b0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ac80fa|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ad7fd0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae1410|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae15e9|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae4a80|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae4ea0|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae4fff|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae50ef|game         |-      -
 0.14%  | 2          |[.] 0x0000000061ae62f2|game         |-      -
 0.14%  | 2          |[.] 0x0000000061b39a5b|game         |-      -
 0.14%  | 2          |[.] 0x00000000000a9d31|libc.so.6    |-      -
 0.14%  | 2          |[.] 0x00000000000ab363|libc.so.6    |-      -
 0.14%  | 2          |[.] 0x00000000000ab3e8|libc.so.6    |-      -
 0.14%  | 2          |[.] 0x00000000001887de|libc.so.6    |-      -
 0.07%  | 1          |[.] 0x000000000d57ba9a|game         |-      -
 0.07%  | 1          |[.] 0x000000000d57bada|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a6970|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a69a9|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a72ca|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a7a90|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a84f3|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5a99fc|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aa8db|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aa9b5|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aaad6|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aad3b|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aad90|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5aaedb|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5abb70|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5adea0|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5ae393|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5b3190|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5b39b9|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5b4002|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bb1b2|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5befe9|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf036|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf079|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf0f6|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf10d|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf14a|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf16a|game         |-      -
 0.07%  | 1          |[.] 0x000000000d5bf19b|game         |-      -
 0.07%  | 1          |[.] 0x000000000d620adf|game         |-      -
 0.07%  | 1          |[.] 0x00000000145b53a0|game         |-      -
 0.07%  | 1          |[.] 0x0000000018a72c80|game         |-      -
 0.07%  | 1          |[.] 0x0000000036d08bfc|game         |-      -
 0.07%  | 1          |[.] 0x0000000036d0a181|game         |-      -
 0.07%  | 1          |[.] 0x0000000036d0b070|game         |-      -
 0.07%  | 1          |[.] 0x0000000036e1026c|game         |-      -
 0.07%  | 1          |[.] 0x0000000036ffdfcc|game         |-      -
 0.07%  | 1          |[.] 0x0000000036ffefed|game         |-      -
 0.07%  | 1          |[.] 0x000000003700159b|game         |-      -
 0.07%  | 1          |[.] 0x0000000037004760|game         |-      -
 0.07%  | 1          |[.] 0x0000000037005459|game         |-      -
 0.07%  | 1          |[.] 0x0000000037007b5b|game         |-      -
 0.07%  | 1          |[.] 0x0000000037009ad9|game         |-      -
 0.07%  | 1          |[.] 0x0000000037009ba0|game         |-      -
 0.07%  | 1          |[.] 0x0000000037009e55|game         |-      -
 0.07%  | 1          |[.] 0x0000000037013828|game         |-      -
 0.07%  | 1          |[.] 0x00000000370139a0|game         |-      -
 0.07%  | 1          |[.] 0x000000003701404c|game         |-      -
 0.07%  | 1          |[.] 0x0000000037014c97|game         |-      -
 0.07%  | 1          |[.] 0x0000000037014d5c|game         |-      -
 0.07%  | 1          |[.] 0x0000000037015927|game         |-      -
 0.07%  | 1          |[.] 0x0000000037015c13|game         |-      -
 0.07%  | 1          |[.] 0x0000000037017909|game         |-      -
 0.07%  | 1          |[.] 0x00000000370180ab|game         |-      -
 0.07%  | 1          |[.] 0x000000003701818a|game         |-      -
 0.07%  | 1          |[.] 0x0000000037018375|game         |-      -
 0.07%  | 1          |[.] 0x000000003701acca|game         |-      -
 0.07%  | 1          |[.] 0x000000003701b8f1|game         |-      -
 0.07%  | 1          |[.] 0x000000003701c121|game         |-      -
 0.07%  | 1          |[.] 0x000000003701cd32|game         |-      -
 0.07%  | 1          |[.] 0x000000003701d7cd|game         |-      -
 0.07%  | 1          |[.] 0x000000003701dead|game         |-      -
 0.07%  | 1          |[.] 0x000000003712ab20|game         |-      -
 0.07%  | 1          |[.] 0x000000003712affe|game         |-      -
 0.07%  | 1          |[.] 0x00000000371a4170|game         |-      -
 0.07%  | 1          |[.] 0x00000000371ad166|game         |-      -
 0.07%  | 1          |[.] 0x00000000371b39c5|game         |-      -
 0.07%  | 1          |[.] 0x00000000371bfd08|game         |-      -
 0.07%  | 1          |[.] 0x00000000371d0b67|game         |-      -
 0.07%  | 1          |[.] 0x00000000371d48e0|game         |-      -
 0.07%  | 1          |[.] 0x00000000371d7891|game         |-      -
 0.07%  | 1          |[.] 0x00000000371e9bbc|game         |-      -
 0.07%  | 1          |[.] 0x00000000371ea4c8|game         |-      -
 0.07%  | 1          |[.] 0x00000000371f4fff|game         |-      -
 0.07%  | 1          |[.] 0x00000000371f655c|game         |-      -
 0.07%  | 1          |[.] 0x00000000371f6bc2|game         |-      -
 0.07%  | 1          |[.] 0x00000000371fe478|game         |-      -
 0.07%  | 1          |[.] 0x00000000371fe572|game         |-      -
 0.07%  | 1          |[.] 0x0000000037203151|game         |-      -
 0.07%  | 1          |[.] 0x0000000037211000|game         |-      -
 0.07%  | 1          |[.] 0x0000000037211f72|game         |-      -
 0.07%  | 1          |[.] 0x000000003721bda1|game         |-      -
 0.07%  | 1          |[.] 0x000000003721d039|game         |-      -
 0.07%  | 1          |[.] 0x00000000372205fb|game         |-      -
 0.07%  | 1          |[.] 0x000000003722c7b3|game         |-      -
 0.07%  | 1          |[.] 0x000000003722e359|game         |-      -
 0.07%  | 1          |[.] 0x00000000372435c6|game         |-      -
 0.07%  | 1          |[.] 0x0000000037250431|game         |-      -
 0.07%  | 1          |[.] 0x00000000372d2e55|game         |-      -
 0.07%  | 1          |[.] 0x00000000372d3ec2|game         |-      -
 0.07%  | 1          |[.] 0x00000000372d4a65|game         |-      -
 0.07%  | 1          |[.] 0x00000000372d95ad|game         |-      -
 0.07%  | 1          |[.] 0x00000000372d986b|game         |-      -
 0.07%  | 1          |[.] 0x00000000372df3c0|game         |-      -
 0.07%  | 1          |[.] 0x00000000373aaf5b|game         |-      -
 0.07%  | 1          |[.] 0x00000000373ada03|game         |-      -
 0.07%  | 1          |[.] 0x00000000373beb40|game         |-      -
 0.07%  | 1          |[.] 0x00000000373ccd14|game         |-      -
 0.07%  | 1          |[.] 0x00000000373d59d4|game         |-      -
 0.07%  | 1          |[.] 0x0000000037435fb8|game         |-      -
 0.07%  | 1          |[.] 0x0000000037436122|game         |-      -
 0.07%  | 1          |[.] 0x0000000037437d7c|game         |-      -
 0.07%  | 1          |[.] 0x000000003743bbe5|game         |-      -
 0.07%  | 1          |[.] 0x0000000037452866|game         |-      -
 0.07%  | 1          |[.] 0x0000000037454d54|game         |-      -
 0.07%  | 1          |[.] 0x000000003762f785|game         |-      -
 0.07%  | 1          |[.] 0x0000000037638000|game         |-      -
 0.07%  | 1          |[.] 0x00000000376384f4|game         |-      -
 0.07%  | 1          |[.] 0x0000000037639dbe|game         |-      -
 0.07%  | 1          |[.] 0x000000003763c1e8|game         |-      -
 0.07%  | 1          |[.] 0x000000003763d022|game         |-      -
 0.07%  | 1          |[.] 0x000000003763ee05|game         |-      -
 0.07%  | 1          |[.] 0x000000003763ff7c|game         |-      -
 0.07%  | 1          |[.] 0x0000000037641677|game         |-      -
 0.07%  | 1          |[.] 0x00000000376418b4|game         |-      -
 0.07%  | 1          |[.] 0x00000000376418d0|game         |-      -
 0.07%  | 1          |[.] 0x0000000037652a02|game         |-      -
 0.07%  | 1          |[.] 0x0000000037658f68|game         |-      -
 0.07%  | 1          |[.] 0x0000000037659e26|game         |-      -
 0.07%  | 1          |[.] 0x0000000037665001|game         |-      -
 0.07%  | 1          |[.] 0x0000000037668ee5|game         |-      -
 0.07%  | 1          |[.] 0x000000003766b2d6|game         |-      -
 0.07%  | 1          |[.] 0x000000003766f03f|game         |-      -
 0.07%  | 1          |[.] 0x000000003767ad70|game         |-      -
 0.07%  | 1          |[.] 0x0000000037684553|game         |-      -
 0.07%  | 1          |[.] 0x000000003768a8e6|game         |-      -
 0.07%  | 1          |[.] 0x00000000376f704c|game         |-      -
 0.07%  | 1          |[.] 0x00000000376faae0|game         |-      -
 0.07%  | 1          |[.] 0x00000000376fc184|game         |-      -
 0.07%  | 1          |[.] 0x00000000376fc8f0|game         |-      -
 0.07%  | 1          |[.] 0x0000000037739320|game         |-      -
 0.07%  | 1          |[.] 0x00000000378c7496|game         |-      -
 0.07%  | 1          |[.] 0x00000000378cb1d4|game         |-      -
 0.07%  | 1          |[.] 0x00000000378ccf76|game         |-      -
 0.07%  | 1          |[.] 0x00000000378d1947|game         |-      -
 0.07%  | 1          |[.] 0x00000000378d1c03|game         |-      -
 0.07%  | 1          |[.] 0x00000000378d4842|game         |-      -
 0.07%  | 1          |[.] 0x00000000378d55e2|game         |-      -
 0.07%  | 1          |[.] 0x00000000378d8e59|game         |-      -
 0.07%  | 1          |[.] 0x00000000378e085c|game         |-      -
 0.07%  | 1          |[.] 0x00000000379ff5b1|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a416d2|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a41a26|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a428ae|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a428d5|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a42c9a|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a445e5|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a455a4|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a48b1c|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a4daf2|game         |-      -
 0.07%  | 1          |[.] 0x0000000037a4dc90|game         |-      -
 0.07%  | 1          |[.] 0x0000000037b893ff|game         |-      -
 0.07%  | 1          |[.] 0x0000000037b9b470|game         |-      -
 0.07%  | 1          |[.] 0x00000000494bf8d0|game         |-      -
 0.07%  | 1          |[.] 0x00000000494c2fde|game         |-      -
 0.07%  | 1          |[.] 0x00000000494c38f6|game         |-      -
 0.07%  | 1          |[.] 0x00000000494ca53c|game         |-      -
 0.07%  | 1          |[.] 0x00000000494ce004|game         |-      -
 0.07%  | 1          |[.] 0x0000000049bd6fd0|game         |-      -
 0.07%  | 1          |[.] 0x0000000049bd7f9b|game         |-      -
 0.07%  | 1          |[.] 0x0000000049bd9f4b|game         |-      -
 0.07%  | 1          |[.] 0x0000000049bf7e62|game         |-      -
